ID	stim_file	start_vol	end_vol
sub-control025	04_S9_combined_small.mp4	698	713
sub-control025	05_K4_combined_small.mp4	906	921
sub-control025	06_H7_combined_small.mp4	478	494
sub-control025	07_K2_combined_small.mp4	1112	1125
sub-control025	08_S12_combined_small.mp4	1036	1056
sub-control025	09_S11_combined_small.mp4	545	556
sub-control025	10_S27_combined_small.mp4	791	806
sub-control025	11_K21_long_combined_small.mp4	509	530
sub-control025	12_H37_combined_small.mp4	729	743
sub-control025	13_Trick6_short_combined_small.mp4	1003	1021
sub-control025	14_K19_long_combined_small.mp4	298	313
sub-control025	15_S18_combined_small.mp4	368	383
sub-control025	16_H19_combined_small.mp4	449	460
sub-control025	17_Trick37_combined_small.mp4	136	158
sub-control025	18_Trick4_combined_small.mp4	965	988
sub-control025	19_H17_combined_small.mp4	1074	1097
sub-control025	20_Trick20_short_combined_small.mp4	761	773
sub-control025	21_S15_combined_small.mp4	627	642
sub-control025	22_K18_combined_small.mp4	572	582
sub-control025	23_K10_combined_small.mp4	821	832
sub-control025	24_Trick28_combined_small.mp4	330	350
sub-control025	25_S25_combined_small.mp4	174	200
sub-control025	26_S30_combined_small.mp4	600	612
sub-control025	27_S31_combined_small.mp4	424	434
sub-control025	28_K24_combined_small.mp4	245	256
sub-control025	29_H36_combined_small.mp4	34	51
sub-control025	30_H15_combined_small.mp4	215	230
sub-control025	31_K3_combined_small.mp4	936	948
sub-control025	32_K16_short_combined_small.mp4	847	862
sub-control025	33_S21_combined_small.mp4	273	283
sub-control025	34_Trick38_combined_small.mp4	877	890
sub-control025	35_Trick32_long_combined_small.mp4	660	683
sub-control025	36_Trick7_short_combined_small.mp4	398	408
sub-control027	01_H35_combined_small.mp4	303	321
sub-control027	02_H10_combined_small.mp4	462	477
sub-control027	03_H16_combined_small.mp4	915	931
sub-control027	04_S9_combined_small.mp4	398	413
sub-control027	05_K4_combined_small.mp4	843	858
sub-control027	06_H7_combined_small.mp4	1109	1125
sub-control027	07_K2_combined_small.mp4	1014	1027
sub-control027	08_S12_combined_small.mp4	647	667
sub-control027	09_S11_combined_small.mp4	58	69
sub-control027	10_S27_combined_small.mp4	244	259
sub-control027	11_K21_long_combined_small.mp4	88	109
sub-control027	12_H37_combined_small.mp4	784	798
sub-control027	13_Trick6_short_combined_small.mp4	720	738
sub-control027	14_K19_long_combined_small.mp4	339	354
sub-control027	15_S18_combined_small.mp4	429	444
sub-control027	16_H19_combined_small.mp4	149	160
sub-control027	17_Trick37_combined_small.mp4	1042	1064
sub-control027	18_Trick4_combined_small.mp4	580	603
sub-control027	19_H17_combined_small.mp4	682	705
sub-control027	20_Trick20_short_combined_small.mp4	550	562
sub-control027	21_S15_combined_small.mp4	946	961
sub-control027	22_K18_combined_small.mp4	1083	1093
sub-control027	23_K10_combined_small.mp4	756	767
sub-control027	24_Trick28_combined_small.mp4	979	999
sub-control027	25_S25_combined_small.mp4	873	899
sub-control027	26_S30_combined_small.mp4	29	41
sub-control027	27_S31_combined_small.mp4	525	535
sub-control027	28_K24_combined_small.mp4	274	285
sub-control027	29_H36_combined_small.mp4	492	509
sub-control027	30_H15_combined_small.mp4	175	190
sub-control027	31_K3_combined_small.mp4	618	630
sub-control027	32_K16_short_combined_small.mp4	813	828
sub-control027	33_S21_combined_small.mp4	124	134
sub-control027	34_Trick38_combined_small.mp4	369	382
sub-control027	35_Trick32_long_combined_small.mp4	205	228
sub-control027	36_Trick7_short_combined_small.mp4	4	14
sub-control029	01_H35_combined_small.mp4	1107	1125
sub-control029	02_H10_combined_small.mp4	158	173
sub-control029	03_H16_combined_small.mp4	365	381
sub-control029	04_S9_combined_small.mp4	1005	1020
sub-control029	05_K4_combined_small.mp4	213	228
sub-control029	06_H7_combined_small.mp4	424	440
sub-control029	07_K2_combined_small.mp4	628	641
sub-control029	08_S12_combined_small.mp4	970	990
sub-control029	09_S11_combined_small.mp4	684	695
sub-control029	10_S27_combined_small.mp4	100	115
sub-control029	11_K21_long_combined_small.mp4	877	898
sub-control029	12_H37_combined_small.mp4	599	613
sub-control029	13_Trick6_short_combined_small.mp4	4	22
